№;Ключевое слово;Страна;Язык;Домен;E-mail;Telegram contact;LinkedIn;Phone;Предметная область
1;финтех стартап;RU;ru;mkechinov.ru;info@mkechinov.ru;;;;финтех стартап
2;финтех стартап;RU;ru;rb.ru;team@rb.ru;;;;финтех стартап
3;AI компания Москва;RU;ru;mts.ai;info@mts.ai;;;;AI компания Москва
4;AI компания Москва;RU;ru;secret-agents.ru;sales@secret-agents.ru;;;;AI компания Москва
5;IT аутсорсинг;RU;ru;entreprendre.service-public.gouv.fr;camille@dila.fr;;;;IT аутсорсинг
6;IT аутсорсинг;RU;ru;vc.ru;"platform@cmtt.ru; secret@vc.ru; moderation@vc.ru; sales@cmtt.ru";deal@cmtt.ru;;;IT аутсорсинг
7;fintech startup;US;en;b-mag.ru;b-mag1@ya.ru;;;;fintech startup
8;fintech startup;US;en;credistory.ru;filatova@abr-pr.ru;;;;fintech startup
9;fintech startup;US;en;ilink.dev;hello@ilink.dev;;;;fintech startup
10;AI company Berlin;DE;en;explodingtopics.com;mail@semrush.com;;;;AI company Berlin
11;blockchain development;GB;en;pixelplex.io;info@pixelplex.io;;;;blockchain development
12;fintech unternehmen;DE;de;zarlaw.ru;info@zarlaw.ru;;;;fintech unternehmen
13;искусственный интеллект;RU;ru;vc.ru;"moderation@vc.ru; platform@cmtt.ru; sales@cmtt.ru; secret@vc.ru; deal@cmtt.ru";;;;искусственный интеллект
